time,n_true,true_velocitypredicted_n,predicted_velocity,bounds_crossed
3.0925660133361816,1.029542088508606,16.95210838317871,1.145060420036316,16.117191314697266,0
3.1526541709899902,1.0275927782058716,16.95235824584961,1.1381995677947998,16.1153507232666,0
3.212221384048462,1.0269685983657837,16.95235824584961,1.1321947574615479,16.107460021972656,0
3.2731707096099854,1.0236773490905762,16.89366912841797,1.1260956525802612,16.055009841918945,0
3.312324047088623,1.0208786725997925,16.89366912841797,1.1201285123825073,16.06925392150879,0
3.372795820236206,1.0195544958114624,17.02518653869629,1.1147639751434326,16.204782485961914,0
3.43271803855896,1.0160059928894043,17.02518653869629,1.109270453453064,16.2247257232666,0
3.4732470512390137,1.015760898590088,17.046464920043945,1.1046743392944336,16.2661075592041,0
3.5763142108917236,1.0153793096542358,16.946535110473633,1.100803017616272,16.15816879272461,0
3.6134040355682373,1.013265609741211,16.946535110473633,1.097063660621643,16.14583969116211,0
3.6736373901367188,1.0133274793624878,16.99259376525879,1.0940555334091187,16.208560943603516,0
3.733243465423584,1.013182282447815,16.99259376525879,1.0916107892990112,16.207897186279297,0
3.793342113494873,1.0112237930297852,17.05475616455078,1.0891605615615845,16.268474578857422,0
3.833805799484253,1.0097370147705078,17.05475616455078,1.0868405103683472,16.28186798095703,0
3.89372181892395,1.0087858438491821,17.036100387573242,1.084776520729065,16.276527404785156,0
3.9538185596466064,1.0087908506393433,17.122289657592773,1.0831769704818726,16.361616134643555,0
4.01393985748291,1.0120970010757446,17.122289657592773,1.0827970504760742,16.3499813079834,0
4.0536394119262695,1.0116468667984009,16.947071075439453,1.0825153589248657,16.176197052001953,0
4.113479137420654,1.013228416442871,16.947071075439453,1.0828067064285278,16.16046714782715,0
4.173434257507324,1.0125584602355957,16.973365783691406,1.08303964138031,16.172508239746094,0
4.233525276184082,1.0095937252044678,16.973365783691406,1.0826778411865234,16.196348190307617,0
4.274053573608398,1.0087486505508423,17.087905883789062,1.0823004245758057,16.302865982055664,0
4.334383010864258,1.007859468460083,17.087905883789062,1.081897497177124,16.300535202026367,0
4.394469261169434,1.0067119598388672,17.115819931030273,1.0814125537872314,16.348060607910156,0
4.456918239593506,1.0074812173843384,17.115819931030273,1.0812819004058838,16.349313735961914,0
4.514732837677002,1.0067932605743408,16.99679183959961,1.081132411956787,16.217771530151367,0
4.554180145263672,1.006290078163147,17.15666389465332,1.0810036659240723,16.38543128967285,0
4.614471912384033,1.0066264867782593,17.15666389465332,1.0810691118240356,16.40326690673828,0
4.674886703491211,1.0058000087738037,17.0330753326416,1.0810534954071045,16.268827438354492,0
4.714750289916992,1.0041782855987549,17.0330753326416,1.0807989835739136,16.249868392944336,0
4.7753448486328125,1.004159927368164,17.0811767578125,1.0806643962860107,16.308229446411133,0
4.8351335525512695,1.005233883857727,17.0811767578125,1.0808523893356323,16.29715919494629,0
4.895062446594238,1.004930019378662,17.018346786499023,1.0810415744781494,16.242876052856445,0
4.934818267822266,1.0055217742919922,17.018346786499023,1.0814054012298584,16.249595642089844,0
4.994670391082764,1.0049008131027222,17.011306762695312,1.0816807746887207,16.267488479614258,0
5.0544843673706055,1.0030333995819092,17.068939208984375,1.0816348791122437,16.333539962768555,0
5.114253044128418,1.0025839805603027,17.068939208984375,1.0815749168395996,16.341201782226562,0
5.175653457641602,1.001208782196045,17.1313533782959,1.081325888633728,16.38895034790039,0
5.214234352111816,1.0016411542892456,17.1313533782959,1.0812450647354126,16.405656814575195,0
5.274105072021484,1.0003725290298462,17.103879928588867,1.0809972286224365,16.385944366455078,0
5.3341851234436035,1.0005559921264648,17.103879928588867,1.0808643102645874,16.362510681152344,0
5.394415855407715,1.0014837980270386,16.9864559173584,1.0809648036956787,16.243274688720703,0
5.43433141708374,1.003633737564087,16.9864559173584,1.081486701965332,16.23600959777832,0
5.494868755340576,1.003431797027588,17.033231735229492,1.0819642543792725,16.274009704589844,0
5.555637359619141,1.0036531686782837,17.090450286865234,1.0824731588363647,16.334434509277344,0
5.616545677185059,1.0012474060058594,17.090450286865234,1.0825543403625488,16.355920791625977,0
5.65542459487915,1.0014294385910034,17.09502601623535,1.0826935768127441,16.370344161987305,0
5.71506404876709,1.00137460231781,17.09502601623535,1.0828425884246826,16.372665405273438,0
5.775149345397949,1.0032973289489746,17.131235122680664,1.0833278894424438,16.395896911621094,0
5.835553169250488,1.0037405490875244,17.131235122680664,1.0838663578033447,16.405561447143555,0
5.875329971313477,1.0044831037521362,17.19952964782715,1.0844985246658325,16.47606086730957,0
5.934449195861816,1.0039304494857788,17.19952964782715,1.085002064704895,16.474231719970703,0
5.994573593139648,1.0049736499786377,17.16554069519043,1.0856434106826782,16.434938430786133,0
6.054020404815674,1.0046749114990234,17.114681243896484,1.0861929655075073,16.394176483154297,0
6.094181537628174,1.0039727687835693,17.114681243896484,1.0865941047668457,16.39848518371582,0
6.153835296630859,1.0054676532745361,17.070066452026367,1.087201476097107,16.347633361816406,0
6.2136945724487305,1.0056250095367432,17.070066452026367,1.0877859592437744,16.337404251098633,0
6.274964809417725,1.0048186779022217,17.089336395263672,1.0882006883621216,16.376630783081055,0
6.314520359039307,1.0062198638916016,17.089336395263672,1.0887937545776367,16.38045310974121,0
6.375373840332031,1.0043976306915283,17.134239196777344,1.0890634059906006,16.43568229675293,0
6.434974670410156,1.0030707120895386,17.134239196777344,1.0891127586364746,16.438806533813477,0
